epoch,split,total_loss,prediction_loss,slope_loss,slope,p,A,k_shift,w,vrmse_k_100
1,train,24.38073913425934,24.38073913425934,0.0,0.0,0.0,0.0,0.0,0.0,24.38073913425934
1,valid,157.36079234320943,157.36079234320943,0.0,0.0,0.0,0.0,0.0,0.0,157.36079234320943
2,train,28.653525062935138,28.653525062935138,0.0,0.0,0.0,0.0,0.0,0.0,28.653525062935138
2,valid,331.55229607054855,331.55229607054855,0.0,0.0,0.0,0.0,0.0,0.0,331.55229607054855
3,train,56.357034168107724,56.357034168107724,0.0,0.0,0.0,0.0,0.0,0.0,56.357034168107724
3,valid,326.23661160469055,326.23661160469055,0.0,0.0,0.0,0.0,0.0,0.0,326.23661160469055
4,train,26.16489217921001,26.16489217921001,0.0,0.0,0.0,0.0,0.0,0.0,26.16489217921001
4,valid,645.011158668898,645.011158668898,0.0,0.0,0.0,0.0,0.0,0.0,645.011158668898
5,train,24.96781221783258,24.96781221783258,0.0,0.0,0.0,0.0,0.0,0.0,24.96781221783258
5,valid,493.4774998911028,493.4774998911028,0.0,0.0,0.0,0.0,0.0,0.0,493.4774998911028
6,train,24.029487329527615,24.029487329527615,0.0,0.0,0.0,0.0,0.0,0.0,24.029487329527615
6,valid,318.26976321770894,318.26976321770894,0.0,0.0,0.0,0.0,0.0,0.0,318.26976321770894
7,train,26.041379736206395,26.041379736206395,0.0,0.0,0.0,0.0,0.0,0.0,26.041379736206395
7,valid,1334.8039078673696,1334.8039078673696,0.0,0.0,0.0,0.0,0.0,0.0,1334.8039078673696
8,train,39.76625126806216,39.76625126806216,0.0,0.0,0.0,0.0,0.0,0.0,39.76625126806216
8,valid,1059.3595866779,1059.3595866779,0.0,0.0,0.0,0.0,0.0,0.0,1059.3595866779
9,train,38.01703117012493,38.01703117012493,0.0,0.0,0.0,0.0,0.0,0.0,38.01703117012493
9,valid,1712.9327804867814,1712.9327804867814,0.0,0.0,0.0,0.0,0.0,0.0,1712.9327804867814
10,train,29.3605670392271,29.3605670392271,0.0,0.0,0.0,0.0,0.0,0.0,29.3605670392271
10,valid,524.7461621606253,524.7461621606253,0.0,0.0,0.0,0.0,0.0,0.0,524.7461621606253
